"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
112,11.5021487506096,-5.07413630560898,44,-0.229584658829603,0.632049837688099,0.9233569293266,"NS","NS","Pericyte",0.886363636363636
113,1.48567416842477,-5.90028913290773,29,-0.203997056780963,0.650415540179448,0.9233569293266,"NS","NS","Pericyte",1
114,-7.89187336012714,6.47602940541823,36,-0.348317151841907,0.44124250209819,0.861410911511745,"NS","NS","Capillary",1
115,4.2805896740114,2.07212499629865,33,-3.09006697100303,0.000252733309144005,0.00567245871634322,"FDR<0.01","CN-enriched","Arterial",1
116,0.568136053954634,-7.74094286121608,32,-0.0211956695957507,0.99603647833375,0.996292457218056,"NS","NS","Pericyte",1
117,-7.53280440216256,8.14766897501865,60,-0.436474119355761,0.269213718624366,0.776873873744598,"NS","NS","Capillary",1
118,14.2741048172614,-6.81806458093406,40,-0.35579780211355,0.397837641175294,0.861410911511745,"NS","NS","Venous",1
119,4.2422794741049,9.5891609254939,39,-1.07628827797532,0.0218059351398655,0.151889617181132,"NS","NS","SMC",1
120,-11.8491756379424,-0.605590832404846,47,1.01742907480894,0.0155582626517602,0.125710762226222,"NS","NS","Pericyte",1
121,-6.42858974183592,3.56378596321007,34,0.532622124648642,0.246719212364891,0.760759996476637,"NS","NS","Capillary",0.941176470588235
122,12.3055391115345,-6.06915839810233,29,0.234353933606228,0.619758847214054,0.9233569293266,"NS","NS","Venous",0.724137931034483
123,13.58842025003,-4.74777054461902,52,0.0189161244174745,0.994947490061584,0.996292457218056,"NS","NS","Venous",1
124,-11.1270492841519,1.42615284465074,23,1.04018419587651,0.0242948657905568,0.163585429656416,"NS","NS","Pericyte",0.521739130434783
125,13.6199797466895,-4.58154559427544,55,0.0627882461446335,0.883364631722515,0.974086277848796,"NS","NS","Venous",1
126,1.14491176948201,-7.2980328452696,41,-0.397579919145126,0.336614172480232,0.831348721464687,"NS","NS","Pericyte",1
127,-7.61354648027901,3.92974856257936,33,0.354533028581987,0.429849100217595,0.861410911511745,"NS","NS","Capillary",1
128,14.1544082008918,-6.20248435802464,63,-0.232187695197753,0.569689221871014,0.9233569293266,"NS","NS","Venous",1
129,-9.13566078124768,4.98819630949682,36,0.112538009177757,0.800083672156533,0.95679485690517,"NS","NS","Capillary",1
130,13.9500367366433,-4.76794297300142,47,-0.257508899698951,0.536298834503935,0.918070886184702,"NS","NS","Venous",1
131,14.2245144998531,-6.93381498513302,30,0.959442439823631,0.0399864560791153,0.23077897508518,"NS","NS","Venous",1
132,14.0325199244274,-7.73001469582937,34,-0.155125704661859,0.736800212959783,0.924432565328424,"NS","NS","Venous",1
133,1.80916435475158,-6.89191161650102,36,0.0318957462286485,0.995796048702867,0.996292457218056,"NS","NS","Pericyte",1
134,-6.13756344183631,4.75434009016582,31,0.662291035615365,0.138677720996923,0.608976079160402,"NS","NS","Capillary",1
135,-10.553659360061,2.06596729556185,35,0.4406962019398,0.32618924563532,0.831348721464687,"NS","NS","Capillary",0.914285714285714
136,-7.01375099564585,-13.712355564611,32,0.0541026054385175,0.996036035945994,0.996292457218056,"NS","NS","Pericyte",1
